id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
1221655,2023-01-22 09:35:00,Дмитровский,Наезд на препятствие,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,1,1,1,0,1,56.262601,37.565464
1221692,2023-01-22 12:30:00,Наро-Фоминский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,4,4,0,2,55.272197,36.693521
1221722,2023-01-22 14:20:00,Одинцовский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,3,3,0,1,55.693521,37.274208
1221730,2023-01-22 14:50:00,Подольский,Наезд на препятствие,Тяжёлый,Светлое время суток,Пасмурно,,0,1,1,0,1,55.342624,37.473764
1221771,2023-01-22 18:05:00,Пушкинский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,56.012132,37.863112
1221774,2023-01-22 18:10:00,Серпуховский,Наезд на препятствие,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,3,1,0,2,54.854416,37.475116
1221804,2023-01-22 19:27:00,Шаховской,Съезд с дороги,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,Недостаточное освещение,1,1,1,0,1,56.023368,35.471699
1221818,2023-01-22 20:15:00,Фрязино,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,3,2,0,1,55.952684,38.05266
1221822,2023-01-22 20:50:00,Балашиха,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,3,1,0,2,55.805514,37.921414
1221828,2023-01-22 22:20:00,Ленинский,Съезд с дороги,С погибшими,Сумерки,Пасмурно,Отсутствие дорожных знаков в необходимых местах,1,2,1,1,0,55.596583,37.775331
1221833,2023-01-22 22:35:00,Дмитровский,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Ясно,Недостатки зимнего содержания,1,2,3,0,1,56.132446,37.36757
1221841,2023-01-22 23:50:00,Мытищинский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,,0,2,2,0,1,55.956618,37.535026
1221856,2023-01-23 07:15:00,Орехово-Зуево,Наезд на препятствие,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,2,55.852041,38.855821
1221886,2023-01-23 08:05:00,Павлово-Посадский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,3,2,0,1,55.78184,38.568245
1221926,2023-01-23 10:15:00,Ступинский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,3,4,0,1,55.10003,38.068657
1221947,2023-01-23 11:20:00,Домодедово,Съезд с дороги,Тяжёлый,Светлое время суток,Пасмурно,,0,1,1,0,1,55.261708,37.765932
1221979,2023-01-23 12:50:00,Подольский,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,4,3,0,1,55.474373,37.616588
1221982,2023-01-23 13:00:00,Серпухов,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,2,4,2,0,2,54.91333,37.450333
1222004,2023-01-23 14:10:00,Ступинский,Столкновение,Тяжёлый,Светлое время суток,Ясно,,0,3,2,0,1,55.02753,37.945919
1222057,2023-01-23 16:45:00,Наро-Фоминский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,3,2,0,1,55.389349,36.745457
1222139,2023-01-23 21:45:00,Ленинский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,55.497449,37.73043
1222210,2023-01-24 08:30:00,Серпуховский,Наезд на препятствие,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.011434,37.423659
1222290,2023-01-24 13:22:00,Люберецкий,Падение пассажира,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,1,2,1,0,1,55.662216,37.912531
1222315,2023-01-24 14:30:00,Наро-Фоминский,Столкновение,С погибшими,Светлое время суток,Пасмурно,,0,2,2,1,0,55.344949,36.730868
1222431,2023-01-24 22:45:00,Ленинский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,"Неправильное применение, плохая видимость дорожных знаков",2,3,3,0,1,55.515548,37.711011
1222440,2023-01-25 00:35:00,Домодедово,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,,0,3,2,0,2,55.451149,37.858747
1222462,2023-01-25 07:05:00,Раменский,Столкновение,С погибшими,Светлое время суток,Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,3,4,1,1,55.573711,38.028145
1222524,2023-01-25 09:30:00,Балашиха,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,5,4,0,3,55.793676,37.914033
1222583,2023-01-25 13:29:00,Щелковский,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,Отсутствие пешеходных ограждений в необходимых местах,1,2,1,0,1,55.921087,37.976035
1222656,2023-01-25 17:25:00,Королёв,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,55.94032,37.830541
1222682,2023-01-25 18:40:00,Подольский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,Недостатки зимнего содержания,2,2,1,0,1,55.42192,37.516637
1222683,2023-01-25 18:41:00,Наро-Фоминский,Наезд на стоящее ТС,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,3,3,0,3,55.541235,37.090874
1222687,2023-01-25 18:55:00,Одинцовский,Столкновение,Тяжёлый,"В темное время суток, освещение не включено",Пасмурно,Неисправное освещение,1,3,2,0,2,55.576064,36.750083
1222700,2023-01-25 19:30:00,Чеховский,Наезд на пешехода,С погибшими,"В темное время суток, освещение включено",Ясно,,0,2,1,1,0,55.160092,37.434754
1222722,2023-01-25 20:30:00,Пушкинский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,,0,2,2,0,1,55.967098,37.842257
1222729,2023-01-25 21:18:00,Ленинский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,8,4,0,6,55.550491,37.774558
1222745,2023-01-26 00:30:00,Железнодорожный,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,Недостатки зимнего содержания,2,2,2,0,1,55.707941,38.048165
1222777,2023-01-26 07:30:00,Сергиево-Посадский,Наезд на пешехода,С погибшими,"В темное время суток, освещение включено",Пасмурно,Отсутствие дорожных ограждений в необходимых местах,1,2,1,1,0,56.285696,38.125391
1222783,2023-01-26 07:45:00,Щелковский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,Дефекты покрытия,2,2,1,0,1,55.839289,38.199464
1222819,2023-01-26 09:18:00,Мытищинский,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.89228,37.724749
1222846,2023-01-26 11:20:00,Сергиево-Посадский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,4,3,0,2,56.477142,38.092028
1222847,2023-01-26 11:20:00,Истринский,Наезд на стоящее ТС,Тяжёлый,Светлое время суток,Пасмурно,Неровное покрытие,1,3,4,0,1,55.961873,36.505862
1222859,2023-01-26 11:55:00,Домодедово,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.451076,37.743884
1222872,2023-01-26 12:40:00,Ногинский,Наезд на пешехода,С погибшими,Светлое время суток,Пасмурно,,0,2,1,1,0,55.733067,38.193412
1222901,2023-01-26 14:20:00,Раменский,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.564648,38.043348
1222904,2023-01-26 14:35:00,Рузский,Съезд с дороги,Тяжёлый,Светлое время суток,Дождь,,0,1,1,0,1,55.818668,36.411524
1222926,2023-01-26 15:45:00,Подольский,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,4,3,0,1,55.470371,37.562138
1222950,2023-01-26 17:10:00,Павлово-Посадский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,,0,3,2,0,1,55.769609,38.655396
1222959,2023-01-26 17:40:00,Солнечногорский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,3,0,1,56.097412,37.172949
1222973,2023-01-26 18:05:00,Люберецкий,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,2,0,1,55.696599,37.973911
1222997,2023-01-26 18:50:00,Домодедово,Наезд на препятствие,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,Неисправное освещение,1,2,2,0,2,55.341642,37.830863
1223023,2023-01-26 20:25:00,Ленинский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,Недостатки зимнего содержания,2,2,1,0,1,55.56159,37.851484
1223071,2023-01-27 07:15:00,Ступинский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,6,6,0,1,54.916339,38.003104
1223077,2023-01-27 07:30:00,Чеховский,Наезд на пешехода,С погибшими,"В темное время суток, освещение отсутствует",Пасмурно,"Неправильное применение, плохая видимость дорожных знаков",2,2,1,1,0,55.170768,37.338002
1223176,2023-01-27 12:30:00,Люберецкий,Падение пассажира,Тяжёлый,Светлое время суток,Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,0,1,55.687547,37.891492
1223193,2023-01-27 13:30:00,Орехово-Зуево,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.575949,38.927135
1223209,2023-01-27 14:15:00,Раменский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,4,5,0,1,55.568434,38.037694
1223243,2023-01-27 15:55:00,Домодедово,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,2,2,0,1,55.358764,37.92724
1223291,2023-01-27 17:30:00,Долгопрудный,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,55.962707,37.519716
1223329,2023-01-27 19:15:00,Дмитровский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,3,2,0,1,56.203625,37.548029
1223340,2023-01-27 20:00:00,Люберецкий,Столкновение,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,4,3,0,1,55.693407,37.865088
1223355,2023-01-27 21:05:00,Сергиево-Посадский,Столкновение,С погибшими,"В темное время суток, освещение отсутствует",Пасмурно,,0,3,2,1,1,56.331576,38.275101
1223440,2023-01-28 09:59:00,Наро-Фоминский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,Отсутствие освещения,1,4,2,0,3,55.318798,36.234938
1223446,2023-01-28 10:29:00,Рузский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,Отсутствие освещения,1,2,2,0,1,55.760676,36.100903
1223495,2023-01-28 13:00:00,Бронницы,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,2,2,0,1,55.415728,38.245897
1223524,2023-01-28 15:20:00,Сергиево-Посадский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,3,2,0,2,56.549023,38.14119
1223534,2023-01-28 15:47:00,Одинцовский,Наезд на велосипедиста,Тяжёлый,Светлое время суток,Пасмурно,,0,2,2,0,1,55.657985,37.202153
1223538,2023-01-28 15:50:00,Люберецкий,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,3,2,0,1,55.661762,37.88632
1223557,2023-01-28 17:40:00,Люберецкий,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,55.678631,37.894185
1223641,2023-01-28 22:40:00,Мытищинский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,55.919638,37.720377
1223682,2023-01-29 06:56:00,Ступинский,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Ясно,,0,2,3,0,1,55.063231,37.778893
1223687,2023-01-29 07:30:00,Павлово-Посадский,Столкновение,С погибшими,Светлое время суток,Пасмурно,,0,4,3,2,1,55.883556,38.856883
1223717,2023-01-29 11:00:00,Орехово-Зуево,Столкновение,Тяжёлый,Светлое время суток,Ясно,,0,5,2,0,3,55.611911,39.401983
1223738,2023-01-29 12:00:00,Люберецкий,Наезд на стоящее ТС,С погибшими,Светлое время суток,Пасмурно,,0,3,3,1,0,55.646356,37.912842
1223813,2023-01-29 17:05:00,Одинцовский,Наезд на препятствие,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,1,1,0,1,55.639963,36.993392
1223816,2023-01-29 17:20:00,Рузский,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.547214,36.372696
1223897,2023-01-29 22:08:00,Егорьевский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,2,0,1,55.392403,39.022
1223898,2023-01-29 22:15:00,Мытищинский,Столкновение,С погибшими,"В темное время суток, освещение включено",Пасмурно,,0,2,3,1,0,55.903637,37.760053
1224143,2023-01-30 19:30:00,Одинцовский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение отсутствует",Снегопад,Отсутствие дорожных знаков в необходимых местах,2,2,1,0,1,55.652356,36.818619
1224144,2023-01-30 19:30:00,Подольский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,0,1,55.407915,37.578142
1224145,2023-01-30 19:30:00,Ногинский,Столкновение,С погибшими,"В темное время суток, освещение включено",Пасмурно,Отсутствие временных ТСОД в местах проведения работ,1,2,2,1,0,55.841537,38.479131
1224194,2023-01-31 03:40:00,Шаховской,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Ясно,,0,6,3,0,2,56.037564,35.496685
1224208,2023-01-31 07:00:00,Домодедово,Наезд на стоящее ТС,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,2,0,1,55.336098,37.781607
1224217,2023-01-31 07:20:00,Клинский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,1,2,2,0,1,56.225079,36.352912
1224257,2023-01-31 09:30:00,Химки,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.940584,37.30117
