dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
3069,2,Водитель,Мужской,1.0,Нет нарушений,0,Не пострадал,ВАЗ,2004,"В-класс (малый) до 3,9 м"
3069,2,Пассажир,Женский,,Нет нарушений,0,Ранен,ВАЗ,2004,"В-класс (малый) до 3,9 м"
3093,1,Пассажир,Женский,,Нет нарушений,0,Ранен,ВАЗ,2002,"D-класс (средний) до 4,6 м"
3093,1,Водитель,Мужской,20.0,"Выезд на полосу встречного движения с разворотом, поворотом налево или объездом препятствия",1,Не пострадал,ВАЗ,2002,"D-класс (средний) до 4,6 м"
3093,2,Водитель,Мужской,8.0,Нет нарушений,0,Не пострадал,DAF,2005,Седельные тягачи
3277,1,Водитель,Женский,1.0,Нет нарушений,0,Ранен,FORD,2003,"С-класс (малый средний, компактный) до 4,3 м"
3277,1,Пассажир,Женский,,Нет нарушений,0,Ранен,FORD,2003,"С-класс (малый средний, компактный) до 4,3 м"
3277,2,Водитель,Мужской,4.0,Нет нарушений,0,Не пострадал,ВАЗ,2004,"С-класс (малый средний, компактный) до 4,3 м"
3277,3,Водитель,Мужской,14.0,Несоответствие скорости конкретным условиям движения,1,Ранен,SKODA,2005,"С-класс (малый средний, компактный) до 4,3 м"
3526,1,Водитель,Мужской,4.0,Нет нарушений,0,Не пострадал,ВАЗ,2005,"В-класс (малый) до 3,9 м"
3526,1,Пассажир,Женский,,Нет нарушений,0,Ранен,ВАЗ,2005,"В-класс (малый) до 3,9 м"
3526,2,Водитель,Мужской,9.0,Несоблюдение очередности проезда,1,Не пострадал,AUDI,2013,"С-класс (малый средний, компактный) до 4,3 м"
3533,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,ВАЗ,1997,"С-класс (малый средний, компактный) до 4,3 м"
3533,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,ВАЗ,1997,"С-класс (малый средний, компактный) до 4,3 м"
3533,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,ВАЗ,1997,"С-класс (малый средний, компактный) до 4,3 м"
3533,1,Водитель,Мужской,3.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ВАЗ,1997,"С-класс (малый средний, компактный) до 4,3 м"
3582,1,Пассажир,Женский,,Нет нарушений,0,Ранен,PEUGEOT,2010,"В-класс (малый) до 3,9 м"
3582,1,Водитель,Мужской,6.0,Нарушение правил расположения ТС на проезжей части,1,Ранен,PEUGEOT,2010,"В-класс (малый) до 3,9 м"
3582,2,Водитель,Мужской,45.0,Нет нарушений,0,Ранен,ВАЗ,2011,"В-класс (малый) до 3,9 м"
3617,1,Водитель,Мужской,17.0,Нет нарушений,0,Не пострадал,PEUGEOT,2011,Одноэтажные длиной от 5 до 8 м
3617,1,Пассажир,Женский,,Иные нарушения,1,Ранен,PEUGEOT,2011,Одноэтажные длиной от 5 до 8 м
3810,1,Водитель,Мужской,6.0,Другие нарушения ПДД водителем,1,Не пострадал,BMW,1991,"В-класс (малый) до 3,9 м"
3810,2,Водитель,Мужской,5.0,Нет нарушений,0,Не пострадал,BMW,1991,"В-класс (малый) до 3,9 м"
3810,,Иной участник,Мужской,,Иные нарушения,1,Погиб,,,
3865,1,Водитель,,,Выезд на полосу встречного движения,1,,MERCEDES,1996,"С-класс (малый средний, компактный) до 4,3 м"
3865,2,Водитель,Мужской,1.0,Нет нарушений,0,Ранен,ВАЗ,1999,"В-класс (малый) до 3,9 м"
3865,,Пешеход,Мужской,,Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара,1,Ранен,,,
3865,,Пешеход,,,Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара,1,Ранен,,,
4256,1,Водитель,Мужской,11.0,Нет нарушений,0,Не пострадал,VOLKSWAGEN,2007,"D-класс (средний) до 4,6 м"
