id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
463239,2017-10-05 08:15:00,Брянский район,Столкновение,Тяжёлый,Светлое время суток,Дождь,,0,3,3,0,1,53.2814,34.1839
463261,2017-10-05 09:05:00,Брянская область,Столкновение,Тяжёлый,Светлое время суток,Дождь,,0,7,2,0,4,53.2456,34.3375
463430,2017-10-05 15:05:00,Гордеевский район,Столкновение,Тяжёлый,Светлое время суток,Дождь,,0,3,2,0,3,52.5334,32.0502
463531,2017-10-05 17:40:00,Дятьковский район,Наезд на пешехода,Легкий,Светлое время суток,Дождь,,0,4,1,0,2,53.597057,34.33772
463621,2017-10-05 19:05:00,Почепский район,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,52.1508,33.1339
463684,2017-10-05 20:15:00,Суземский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Дождь,,0,2,1,0,1,0.0,0.0
463821,2017-10-06 06:55:00,Брянская область,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Дождь,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,0,1,53.3128,34.2956
464154,2017-10-06 16:50:00,Дятьковский район,Наезд на пешехода,Тяжёлый,Светлое время суток,Дождь,,0,2,1,0,1,53.591505,34.349605
464272,2017-10-06 19:00:00,Брянский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,53.2037,34.2531
464393,2017-10-06 21:45:00,Брянская область,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Дождь,,0,2,1,0,1,53.2383,34.3278
464515,2017-10-07 06:55:00,Брянская область,Наезд на препятствие,Тяжёлый,Сумерки,Пасмурно,,0,1,1,0,1,53.2547,34.4731
464535,2017-10-07 08:20:00,Брянский район,Опрокидывание,С погибшими,Светлое время суток,Пасмурно,,0,3,1,1,2,53.2964,34.1028
464932,2017-10-07 20:30:00,Навлинский район,Наезд на пешехода,Легкий,Светлое время суток,Ясно,,0,2,1,0,1,0.0,0.0
465015,2017-10-07 23:00:00,Климовский район,Наезд на стоящее ТС,Тяжёлый,"В темное время суток, освещение не включено",Ясно,Отсутствие освещения,1,1,2,0,1,52.1408,32.2528
465297,2017-10-08 16:00:00,Суземский район,Столкновение,С погибшими,Светлое время суток,Дождь,,0,2,2,1,1,0.0,0.0
465330,2017-10-08 17:00:00,Жуковский район,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,4,2,0,1,0.0,0.0
465515,2017-10-08 21:19:00,Выгоничский район,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Дождь,,0,2,2,0,1,53.4033,33.3058
465539,2017-10-08 22:04:00,Брянский район,Столкновение,С погибшими,"В темное время суток, освещение включено",Дождь,,0,2,2,1,0,53.1732,34.2122
465624,2017-10-09 07:25:00,Гордеевский район,Наезд на пешехода,С погибшими,"В темное время суток, освещение отсутствует",Дождь,,0,2,1,1,0,53.0022,31.4813
465668,2017-10-09 08:45:00,Брянский район,Опрокидывание,Тяжёлый,Светлое время суток,Дождь,,0,1,1,0,1,53.1751,34.4922
465780,2017-10-09 13:30:00,Навлинский район,Столкновение,С погибшими,Светлое время суток,Дождь,,0,2,2,1,1,52.84578,34.50457
466127,2017-10-10 05:30:00,Брянский район,Столкновение,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,2,2,0,1,53.13,34.36
466507,2017-10-10 19:30:00,Клинцовский район,Наезд на пешехода,С погибшими,"В темное время суток, освещение отсутствует",Пасмурно,,0,2,1,1,0,52.4703,32.2392
466666,2017-10-11 07:20:00,Брянская область,Столкновение,Легкий,"В темное время суток, освещение включено",Пасмурно,Отсутствие пешеходных ограждений в необходимых местах,1,2,2,0,1,53.2417,34.3731
466730,2017-10-11 09:05:00,Почепский район,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,2,2,0,1,52.1392,33.8022
466797,2017-10-11 11:50:00,Стародубский район,Наезд на препятствие,Легкий,Светлое время суток,Ясно,,0,2,1,0,1,52.9731,32.2264
466860,2017-10-11 14:22:00,Брянская область,Падение пассажира,Легкий,Светлое время суток,Пасмурно,Отсутствие дорожных знаков в необходимых местах,3,2,1,0,1,53.2167,34.4047
466889,2017-10-11 15:30:00,Дятьковский район,Наезд на пешехода,С погибшими,Светлое время суток,Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,1,0,53.58384,34.1375
466897,2017-10-11 15:55:00,Брянская область,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,Отсутствие пешеходных ограждений в необходимых местах,3,5,4,0,2,53.2956,34.2603
466917,2017-10-11 16:45:00,Жуковский район,Опрокидывание,Легкий,Светлое время суток,Пасмурно,,0,1,1,0,1,0.0,0.0
467036,2017-10-11 19:30:00,Трубчевский район,Наезд на велосипедиста,Тяжёлый,Сумерки,Дождь,,0,2,2,0,1,52.6022,33.7167
467050,2017-10-11 19:50:00,Клинцовский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,52.76,32.2392
467053,2017-10-11 19:51:00,Севский район,Наезд на пешехода,С погибшими,"В темное время суток, освещение отсутствует",Пасмурно,Отсутствие освещения,2,3,1,1,0,0.0,0.0
467102,2017-10-11 21:50:00,Брасовский район,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Дождь,Отсутствие освещения,1,2,2,0,1,34.9542,34.5714
467521,2017-10-12 18:20:00,Брянский район,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,,0,3,2,0,1,53.2461,34.2221
467801,2017-10-13 09:10:00,Брянская область,Столкновение,Легкий,Светлое время суток,Пасмурно,Отсутствие дорожных знаков в необходимых местах,2,2,2,0,1,53.305,34.3103
467828,2017-10-13 10:00:00,Унеченский район,Наезд на велосипедиста,Легкий,Светлое время суток,Пасмурно,,0,2,2,0,1,0.0,0.0
468054,2017-10-13 17:50:00,Брянский район,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,4,2,0,3,53.286578,34.150612
468239,2017-10-13 23:00:00,Брянская область,Наезд на пешехода,С погибшими,"В темное время суток, освещение включено",Пасмурно,Отсутствие дорожных знаков в необходимых местах,2,2,1,1,0,53.2192,34.3881
468325,2017-10-14 05:45:00,Новозыбковский район,Столкновение,Легкий,"В темное время суток, освещение включено",Пасмурно,Отсутствие дорожных знаков в необходимых местах,1,3,2,0,2,52.521531,31.941927
468365,2017-10-14 08:40:00,Рогнединский район,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,0.0,0.0
468381,2017-10-14 09:20:00,Брянский район,Столкновение,С погибшими,Светлое время суток,Дождь,,0,5,2,1,4,53.1986,34.5138
468389,2017-10-14 09:30:00,Брянская область,Наезд на пешехода,Легкий,Светлое время суток,Пасмурно,,0,2,1,0,1,53.2547,34.3367
468568,2017-10-14 16:00:00,Брянская область,Наезд на велосипедиста,Легкий,Светлое время суток,Ясно,,0,2,2,0,1,53.18,34.1837
468679,2017-10-14 18:55:00,Брянская область,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,Неудовлетворительное состояние обочин,4,3,1,0,2,53.3283,34.2511
