dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
1092958,1,Водитель,Мужской,6.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,NISSAN,2017,"В-класс (малый) до 3,9 м"
1092958,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1093016,1,Водитель,Мужской,20.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,BMW,2016,"С-класс (малый средний, компактный) до 4,3 м"
1093016,2,Водитель,Мужской,14.0,Нет нарушений,0,Ранен,SKODA,2020,Прочие легковые автомобили
1093046,1,Водитель,Мужской,13.0,Нет нарушений,0,Не пострадал,MERCEDES,2005,Автобетоносмесители
1093046,2,Водитель,Мужской,21.0,Несоответствие скорости конкретным условиям движения,1,Ранен,AUDI,2013,"В-класс (малый) до 3,9 м"
1093073,2,Водитель,Мужской,16.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,МАЗ-МАН,2019,Оснащённые специализированным оборудованием  автотранспортные средства для коммунального хозяйства и  содержания дорог
1093073,,Пешеход,Мужской,,Нет нарушений,0,Погиб,,,
1093076,1,Водитель,Мужской,25.0,Нет нарушений,0,Не пострадал,KIA,2017,"С-класс (малый средний, компактный) до 4,3 м"
1093076,2,Водитель,Мужской,51.0,Выезд на полосу встречного движения,1,Погиб,RENAULT,2020,"В-класс (малый) до 3,9 м"
1093078,1,Водитель,Мужской,12.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,ГАЗ,2013,Фургоны
1093078,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
1093099,1,Водитель,Женский,14.0,Нет нарушений,0,Не пострадал,CHERY,2021,"В-класс (малый) до 3,9 м"
1093099,,Пешеход,Женский,,Неподчинение сигналам регулирования,1,Ранен,,,
1093132,2,Водитель,Мужской,7.0,Выезд на полосу встречного движения,1,Не пострадал,ВАЗ,2010,"В-класс (малый) до 3,9 м"
